isbn,summary,rating
0452264464,staring unflinchingly abyss slavery transforms history story powerful exodus intimate lullaby,6
0345402871,a fatal mid-air collision involving commercial airliner prompts frantic desperate investigation accident thriller exploring issue safety security aircraft industry,7
0375759778,five american expatriates living budapest early 1990s seek establish make fortunes city haunted tragedies communist past,8
0553582747,koontz heavenward inspiration newest suspense thriller chock-full signs portents angels second-rate devil murky undercharacterized guy named junior cain throws beloved wife,7
0440225701,after violent encounter homeless talented corporate lawyer michael finds streets lucky alive holding top-secret file belonging former employers,8
0060938412,you promising beginning sexy smart personable funny great dates great afterward-if i but sad state affairs case non- affairs,5
1558531025,a collection advice live happy rewarding life,5
0966986105,when rape murder strike young single women sun-drenched san diego coast police stumped,10
0316769487,quot the hero-narrator the catcher rye ancient child sixteen native new yorker named holden caufield,7
0671867156,placed federal witness protection program murder manhattan real-estate agent lacey farrell solve case victim,8
0671864769,the starship enterprise rescues captain montgomery scott missing space seventy-five years finds world changed recognition,8
0840734530,this enchanting work fantasy leads readers stirring quest enchanted lands hapless good-hearted king quad,10
0451410319,sixteen years fell victim serial killer criminal profiler ivy dunlap called chicago police find madonna murderer unknown killer returned stalk city ivy,8
0061030147,scott foresman reading street c2008 components grade 5,6
0671461494,after earth demolished make hyperspatial expressway arthur dent begins hitch-hike space,7
0590431110,two orphan sisters late 1800s leave new york orphan train seek home west,6
0064470113,two sixteen-year-old girls different social classes spend summer resort island experience test friendship family loyalties romance dependence interfere,7
0553571486,heather returns missionary trip africa dissapointed find selfish family unchanged trip back family time original,6
0312963009,not jurassic park enthralled readers now enter world neanderthal the expedition centuryuncovers find millenniumneanderthal,6
0345430476,in desperate bid quick cash married couple stages fall daughter terrifying consequences begin grown-up daughter returns years small dark place reprint,5
0380728729,the author father discusses intricacies welcoming member family nerve-racking drive delivery room art hypnotizing newborn sleep,5
038081840X,contains tales enchantment wonder horror authors including ursula k leguin charles lint tanith lee gene wolfe ted chiang kate riedel terry goodkind nicola griffith,5
0449912302,after day spent staring computer monitor book kind screen saver brainquot,9
055329198X,the surviving member powerful cursed family nicole st claire returns exile new york city protect love duffy johnson town powerful luring unholy trap nicole,5
0671018930,three teenage siblings find embroiled spiritual warfare christopher kidnapped rebel prince forced join lucifer ancient revolt king heaven original,5
0812541642,waiting rich character suspense constant surprise this chillers entire decade it guaranteed give nightmares reading book pure pleasurequot -- mystery scene,5
067153484X,left music box remember murdered parents orphaned gabrielle denning lady nevon falls love nevon nephew solve mystery lose newfound happiness,6
0312278586,the nanny diaries deftly skewers manner america over-privileged raise petites over-privileged-as grooming best show competition,7
0679310002,a remarkable debut bittersweet unflinching love devotion mother daughterrazor sharp darkly funny quotgoing down swinging chronicles years life hoffmans,10
0425178242,a collection unique passionate columns carl hiaasen miami herald examines outrageous carnival southern florida inhabitants -- thieves conmen hustlers perfumed swine legal swindlers patriotic,7
0060930187,the bell jar chronicles crack-up esther greenwood brilliant beautiful enormously talented successful slowly -- time,8
0679450432,when stella marz assistant county prosecutor head homicide division prosecutor office investigates deaths prominent -- heroin overdose hanged castrated -- uncovers unexpected,7
0446364193,discover classic thriller launched 1 detective series past twenty-five years pbs quot100 great american readsquot alex cross homicide detective phd psychology,7
0064407667,in books youngsters encounter greedy repulsive villain itchy clothing disastrous fire plot steal fortune lumpy bed deadly serpent large brass reading lamp long knife,7
0375501347,explores dark secret jeopardizes love mother daughter small mill town,7
0060927240,when meet chappie punked-out teenager living mother abusive stepfather upstate new york trailer park,7
0345418778,can arthur save earth total multidimensional obliteration can save guide hostile alien takeover can save daughter random of course he works will,8
0312977905,while stealing leif eriksson prized owners part gang initiation robin teenager struggling fit local kids witnesses murder owners39 bedroom avoid killer,5
0451205421,one koontz best-loved novels psychological suspense the door december takes readers darkest recesses human mind-and tempest father obsession,6
0812521331,before dawn history brave found world led dreamer spirit wolf copyright libri gmbh all rights reserved,7
1884777805,a tutorial perl programming particulars perl syntax style structure maintainability code includes advanced concepts -- modular programming abstract datastructures object,8
0553568760,struggling save mother baby horribly wrong birth dr sarah baldwin unaware identical circumstances occurred factor common,6
034538184X,but trial unfolds paget surprisedby mary secret motive murderby evidence mary lyingby woman prosecutor believes mary invented story rapeand enigmatic judge agenda,7
1573229385,caught dead-end low-paying job editorial assistant new york city harry driscoll finds torn dreams writer relationship young woman asked marry,6
0345347536,as person xanth magic sort bink wanders exile searching magic powers return,9
039914739X,angered governor order speed traps eccentric inhabitants isle tangier coast virginia declare state judy hammer superintendent state police stop,6
