isbn,summary,rating
0393022269,tells stories chorus girl unhappy love affair prostitute woman longer love english-west indian marriage,9
0595204589,a stands fog knowing idea direction,8
0060193328,one children high-ranking government official loung ung lived privileged life cambodian capital phnom penh age,8
0837176980,the author recounts experiences traveling countries offers observations cultures customs,9
0312147015,in 1930s harveyville kansas rita ritter recent arrival invited join persian pickle club interest journalism brings dangerously close secret club sworn,8
0451185110,psychiatrist-sleuth alan gregory finds tangle sex sanctions sudden death girlfriend sues former employer closet lesbian aide mormon justice supreme court sexual harassment,8
006091307X,the highly original satire oedipa maas woman finds enmeshed worldwide conspiracy meets extremely interesting characters attains inconsiderable amount knowledge,5
0684829746,irrepressible young edna arkins struggles negotiate perils complexities eighth grade coping white mother absent black father poverty adolescence troubled friends puberty,5
006623607X,when well-intentioned lie appears contributed man suicide terpin resolve act speak truth heart far-reaching consequences,8
0061030651,national security adviser admiral arnold morgan can39t happen dispatches stealthy hunter-killer submarine us fleet 9000-ton ultrasecret seawolf deep dark forbidden waters south china,7
0743403460,in volume four-volume set ancient egypt desert wanderer blocks plot steal gemstone supposed magical powers,8
0373218400,table for two nora roberts released oct 25 2002 available purchase,7
0515120618,jack mercy daughters strangers now learn live family-in order inheritance worth 20 million dollars,8
0373484003,and irish rebel brand-new book landmark series coming silhouette special edition june,7
0515118559,living virginia horse farm mother kelsey byden involved high-stakes gambler raises troubling questions mother past,7
0553278592,adrianne daughter hollywood star arab playboy lives double life highly successful jewel thief yet poised vengeance meets divine secret,8
0553375407,so begins ishmael utterly unique captivating earned large passionate readers critics alike-one beloved bestselling novels spiritual adventure published,10
0684848066,in book iyanla vanzant teaches mental housekeeping clean windows floors walls closets corners minds,7
0871564351,essays discuss pockets wildlands los angeles interaction urban development nature conservation,8
0374522243,featuring inside advice students graduates professionals share experiences success college world work this edition helps prepare success college college,5
006101351X,october 1991 it quotthe perfect stormquot -- tempest happen century -- nor39easter created rare combination factors possibly worse,8
037387183X,wealthy robert buckwater learns meaning rich rediscovers faith god falling love special woman,9
0373871600,a father place marta perry released sep 24 2001 available purchase,9
0373871627,a groom worth waiting for crystal stovall released oct 25 2001 available purchase,5
0812550706,between lie abilities remake world if world survives orson scott card ender game winner 1985 nebula award best novel 1986 hugo award best novel,10
